Exch,Exchange Segment,Group Name,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Trading Symbol,Lot Size,Tick Size
NSE,nse_cm,EQ,011NSETEST,14747,0,011NSETEST,011NSETEST-EQ,011NSETEST-EQ,1,0.05
NSE,nse_cm,EQ,GPTINFRA,17685,0,GPT INFRAPROJECTS LTD,GPTINFRA-EQ,GPTINFRA-EQ,1,0.01
NSE,nse_cm,EQ,GPTHEALTH,22846,0,GPT HEALTHCARE LIMITED,GPTHEALTH-EQ,GPTHEALTH-EQ,1,0.01
NSE,nse_cm,EQ,GPPL,19731,0,GUJARAT PIPAVAV PORT LTD,GPPL-EQ,GPPL-EQ,1,0.01
NSE,nse_cm,EQ,GPIL,13409,0,GODAWARI POW & ISP LTD,GPIL-EQ,GPIL-EQ,1,0.05
NSE,nse_cm,SM,GPECO,24108,0,GP ECO SOLUTIONS INDIA L,GPECO-SM,GPECO-SM,200,0.05
NSE,nse_cm,SM,GOYALSALT,19356,0,GOYAL SALT LIMITED,GOYALSALT-SM,GOYALSALT-SM,600,0.05
NSE,nse_cm,BE,GOYALALUM,11789,0,GOYAL ALUMINIUMS LIMITED,GOYALALUM-BE,GOYALALUM-BE,1,0.01
NSE,nse_cm,EQ,GOPAL,23066,0,GOPAL SNACKS LIMITED,GOPAL-EQ,GOPAL-EQ,1,0.05
NSE,nse_cm,EQ,GOODLUCK,6125,0,GOODLUCK INDIA LIMITED,GOODLUCK-EQ,GOODLUCK-EQ,1,0.1
NSE,nse_cm,EQ,GOLDTECH,9874,0,AION-TECH SOLUTIONS LTD,GOLDTECH-EQ,GOLDTECH-EQ,1,0.01
NSE,nse_cm,SM,GOLDSTAR,1,0,GOLDSTAR POWER LIMITED,GOLDSTAR-SM,GOLDSTAR-SM,11250,0.05
NSE,nse_cm,SM,GOLDKART,13616,0,GOLDKART JEWELS LIMITED,GOLDKART-SM,GOLDKART-SM,625,0.05
