Price,Close,High,Low,Open,Volume
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
Date,,,,,
2020-12-17,46890.33984375,46992.5703125,46627.6015625,46774.3203125,17200
2020-12-18,46960.69140625,47026.01953125,46630.30859375,47026.01953125,12800
2020-12-21,45553.9609375,47055.69140625,44923.078125,46932.1796875,24400
2020-12-22,46006.69140625,46080.1796875,45112.19140625,45529.609375,25100
2020-12-23,46444.1796875,46513.3203125,45899.1015625,46072.30078125,10500
2020-12-24,46973.5390625,47053.3984375,46539.01953125,46743.48828125,13700
2020-12-28,47353.75,47406.71875,47148.23828125,47153.58984375,9600
2020-12-29,47613.078125,47714.55078125,47361.8984375,47466.62109375,12800
2020-12-30,47746.21875,47807.8515625,47358.359375,47789.03125,15600
2020-12-31,47751.328125,47896.96875,47602.12109375,47753.109375,13900
2021-01-01,47868.98046875,47984.359375,47771.1484375,47785.28125,82700
2021-01-04,48176.80078125,48220.46875,47594.46875,48109.171875,13900
2021-01-05,48437.78125,48486.23828125,47903.37890625,48037.62890625,12200
2021-01-06,48174.05859375,48616.66015625,47864.140625,48616.66015625,22500
2021-01-07,48093.3203125,48558.33984375,48037.87109375,48524.359375,18400
2021-01-08,48782.51171875,48854.33984375,48365.578125,48464.91015625,22200
2021-01-11,49269.3203125,49303.7890625,48956.37890625,49252.30859375,21200
2021-01-12,49517.109375,49569.140625,49079.5703125,49228.26171875,12700
2021-01-13,49492.3203125,49795.19140625,49073.8515625,49763.9296875,27200
2021-01-14,49584.16015625,49663.578125,49182.37109375,49432.828125,24500
2021-01-15,49034.671875,49656.7109375,48795.7890625,49656.7109375,14700
2021-01-18,48564.26953125,49122.23046875,48403.96875,49061.21875,16600
2021-01-19,49398.2890625,49499.859375,48805.5390625,48900.30859375,11000
2021-01-20,49792.12109375,49874.421875,49373.6796875,49508.7890625,12200
2021-01-21,49624.76171875,50184.01171875,49398.859375,50096.5703125,19300
2021-01-22,48878.5390625,49676.87890625,48832.078125,49594.94921875,18400
2021-01-25,48347.58984375,49263.1484375,48274.921875,49253.6796875,15500
2021-01-27,47409.9296875,48387.25,47269.6015625,48385.28125,19600
2021-01-28,46874.359375,47172.01953125,46518.48046875,46834.5703125,25000
2021-01-29,46285.76953125,47423.66015625,46160.4609375,47423.46875,14500
2021-02-01,48600.609375,48764.3984375,46433.6484375,46617.94921875,22000
2021-02-02,49797.71875,50154.48046875,49193.26171875,49193.26171875,28400
2021-02-03,50255.75,50526.390625,49515.87890625,50231.05859375,22400
2021-02-04,50614.2890625,50687.51171875,49926.44921875,50212.25,33600
2021-02-05,50731.62890625,51073.26953125,50565.2890625,51031.390625,32200
2021-02-08,51348.76953125,51523.37890625,51146.671875,51146.671875,20600
2021-02-09,51329.078125,51835.859375,51193.9296875,51484.23046875,21200
2021-02-10,51309.390625,51512.859375,50846.21875,51355.890625,16000
2021-02-11,51531.51953125,51592.44921875,51157.30859375,51165.83984375,12100
2021-02-12,51544.30078125,51804.578125,51260.62109375,51614.76953125,15100
2021-02-15,52154.12890625,52235.96875,51886.4609375,51907.75,14700
2021-02-16,52104.171875,52516.76171875,51863.609375,52400.03125,21100
2021-02-17,51703.828125,52078.1484375,51586.33984375,51996.94140625,13600
2021-02-18,51324.69140625,51903.9609375,51186.6796875,51903.9609375,18200
2021-02-19,50889.76171875,51432.98828125,50624.328125,51238.01953125,15000
2021-02-22,49744.3203125,50986.03125,49617.37109375,50910.51171875,16300
2021-02-23,49751.41015625,50327.30859375,49659.8515625,49994.8515625,14900
2021-02-24,50781.69140625,50881.171875,49648.78125,49763.94140625,45900
2021-02-25,51039.30859375,51386.12109375,50991.76171875,51207.609375,33500
2021-02-26,49099.98828125,50400.30859375,48890.48046875,50256.7109375,23100
2021-03-01,49849.83984375,50058.421875,49440.4609375,49747.7109375,18400
2021-03-02,50296.890625,50439.8203125,49807.12109375,50258.08984375,17500
2021-03-03,51444.6484375,51539.890625,50512.83984375,50738.2109375,15800
2021-03-04,50846.078125,51256.55078125,50539.921875,50812.140625,21800
2021-03-05,50405.3203125,50886.19140625,50160.5390625,50517.359375,19200
2021-03-08,50441.0703125,50985.76953125,50318.26171875,50654.01953125,14200
2021-03-09,51025.48046875,51111.94140625,50396.1015625,50714.16015625,12200
